,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Havana,"Camila Cabello",58799,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
2,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,57887,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
3,"นี่แหละความรัก (This is Love)","Peck Palitchoke",57562,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
4,Perfect,"Ed Sheeran",54297,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
5,"Too Good At Goodbyes","Sam Smith",53351,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
6,อย่าบอก,"Atom Chanakan",52410,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
7,Wolves,"Selena Gomez",51867,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
8,"What Lovers Do (feat. SZA)","Maroon 5",48769,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
9,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,46256,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
10,"พริบตา x STAMP","Bird Thongchai",45636,https://open.spotify.com/track/4teedU9O1HNw0jMR1VzNev
11,"How Long","Charlie Puth",45489,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
12,"River (feat. Ed Sheeran)",Eminem,44942,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
13,"New Rules","Dua Lipa",44396,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
14,"Good Morning Teacher","Atom Chanakan",41748,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
15,"Shape of You","Ed Sheeran",41167,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
16,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",38368,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
17,ถอย,Gliss,37915,https://open.spotify.com/track/3nJlzw6Gn33fitnoxJtLSj
18,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",37712,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
19,"Him & I (with Halsey)",G-Eazy,37611,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
20,รักตัวเอง,"Room 39",36964,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
21,พอ,"Atom Chanakan",36100,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
22,"Paris in the Rain",Lauv,35600,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
23,"Young Dumb & Broke",Khalid,34084,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
24,"Dusk Till Dawn - Radio Edit",ZAYN,33656,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
25,Thunder,"Imagine Dragons",32845,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
26,"All Falls Down (feat. Juliander)","Alan Walker",32802,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
27,หน้าหนาวที่แล้ว,"The Toys",31689,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
28,"Something Just Like This","The Chainsmokers",29948,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
29,ถอนหายใจ,Mild,29255,https://open.spotify.com/track/1rve7sIFz7JVxwfrisKyP3
30,"All I Want for Christmas Is You","Mariah Carey",29028,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
31,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",28987,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
32,1-800-273-8255,Logic,28909,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
33,รังเกียจกันไหม?,UrboyTJ,28863,https://open.spotify.com/track/3uVe6WBnQlTdT6zWs6uPX9
34,ฝืนตัวเองไม่เป็น,"Non Tanon",28288,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
35,rockstar,"Post Malone",28159,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
36,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",28138,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
37,โลกที่ไม่มีเธอ,PORTRAIT,28000,https://open.spotify.com/track/0fSl800MbFmlLs1aUxx7Z2
38,"Despacito - Remix","Luis Fonsi",27608,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
39,เป็นทุกอย่าง,"Room 39",27432,https://open.spotify.com/track/54BVTgTpCjK8cRhTFDjHNK
40,Attention,"Charlie Puth",27345,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
41,บทสุดท้าย,"BANKK CA$H",27335,https://open.spotify.com/track/0xpkfml0e404bgSA0C9U2T
42,"There's Nothing Holdin' Me Back","Shawn Mendes",27049,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
43,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",26073,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
44,"Let You Down",NF,25955,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
45,"ฝัง (ใน) ใจ",ETC.,25382,https://open.spotify.com/track/2sO402csNLrYEpiJXlZUCD
46,"Bad Luck",Lipta,24993,https://open.spotify.com/track/6KtTbMttJ8ZtMG6VMds2B2
47,"Look What You Made Me Do","Taylor Swift",24848,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il
48,ยังคิดถึง...(Same),"Marc Tatchapon",24754,https://open.spotify.com/track/1OlInnJssr9pXY0Ooa0SDT
49,เจ็บจนไม่เข้าใจ,PORTRAIT,24544,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
50,Silence,Marshmello,23836,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
51,"I Miss You (feat. Julia Michaels)","Clean Bandit",22129,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
52,Naked,"James Arthur",21466,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
53,"MIC Drop (feat. Desiigner) [Steve Aoki Remix]",BTS,21207,https://open.spotify.com/track/7Ed6BkggCS2KaKY5YlINaF
54,ครั้งหนึ่งไม่ถึงตาย,KLEAR,20999,https://open.spotify.com/track/1H0gOyCNo1NKWFmM8VMIeN
55,"Never Be the Same","Camila Cabello",20485,https://open.spotify.com/track/6VpQdig9pdpTSIFItgkJV5
56,"I Like Me Better",Lauv,20006,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
57,"There for You","Martin Garrix",19386,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
58,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",19326,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
59,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",19307,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
60,"Galway Girl","Ed Sheeran",19223,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
61,"Last Christmas",Wham!,19206,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
62,จดหมาย,"The Toys",19084,https://open.spotify.com/track/2wgGM5bNyPTVI2d7KHmmRw
63,คนละชั้น,Jaonaay,19047,https://open.spotify.com/track/6m5sX3sT8egiC6hqQuU382
64,สารภาพ,Playground,18935,https://open.spotify.com/track/4Gjl7Z9S2LZEnWLeqQh67K
65,เรื่องที่ขอ,Lula,18841,https://open.spotify.com/track/6ZDl7YLiNjey9VOdEM3pok
66,เฉยเมย,YOUNGOHM,18725,https://open.spotify.com/track/6XPCoGblXqyvcyp31vzRyL
67,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",18635,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
68,Anywhere,"Rita Ora",18365,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
69,"End Game","Taylor Swift",18282,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX
70,Sober,G-Eazy,18197,https://open.spotify.com/track/3qk4wRMDlaeagZGjSYbsOV
71,"Strip That Down","Liam Payne",18138,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
72,แต่ยังคิดถึง,"Two Popetorn",18105,https://open.spotify.com/track/2d0fVk9SD8Ad0Njn8RSdsM
73,ก่อนฤดูฝน,"The Toys",17917,https://open.spotify.com/track/1oyYuiIundjUzgi0oyBNyB
74,ไม่เป็นไร...เข้าใจ,"Violette Wautier",17526,https://open.spotify.com/track/7KtxFYiCwqzKLcW5D6R4f0
75,"Super Far",LANY,17521,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E
76,สุขสันต์วันเหงา,"Telex Telexs",17349,https://open.spotify.com/track/79UYIACWhJFMMuFcLHywPS
77,"Symphony (feat. Zara Larsson)","Clean Bandit",17268,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
78,"Lonely Together (feat. Rita Ora)",Avicii,17208,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
79,"Sorry Not Sorry","Demi Lovato",16936,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
80,Lonely,JONGHYUN,16878,https://open.spotify.com/track/5efB9wfc6dn3pzll9ElIrH
81,"Galaxy (feat. Kob The X Factor)","D Gerrard",16843,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
82,"That's What I Like","Bruno Mars",16778,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
83,Believer,"Imagine Dragons",16361,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
84,"Gucci Gang","Lil Pump",15840,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
85,Wait,"Maroon 5",15786,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59
86,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",15328,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
87,"หัวใจทศกัณฐ์(Devil's Heart)","Keng Tachaya",15229,https://open.spotify.com/track/13OiQUzHROJBNGRxcs7nSu
88,"A Different Way (with Lauv)","DJ Snake",15037,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP
89,DNA,BTS,14975,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
90,เผด็จเกิร์ล,"Tattoo Colour",14948,https://open.spotify.com/track/6dnXdI7OhOJYvVjlT6pR03
91,"Santa Tell Me","Ariana Grande",14899,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T
92,Photograph,"Ed Sheeran",14788,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
93,Mama,"Jonas Blue",14697,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
94,"Thunder / Young Dumb & Broke (with Khalid) - Medley","Imagine Dragons",14626,https://open.spotify.com/track/7ER7vcy7u2ajg5IV45WBFw
95,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Machine Gun Kelly",14566,https://open.spotify.com/track/0OI7AFifLSoGzpb8bdBLLV
96,HUMBLE.,"Kendrick Lamar",14256,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
97,"Stranger Things",Kygo,14061,https://open.spotify.com/track/5gIRPQWULwrvIt0F6pY7ph
98,พัง..(ลำพัง),Getsunova,14023,https://open.spotify.com/track/0hTyySmaM27kaBNofAYOdr
99,"As If It's Your Last",BLACKPINK,13972,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
100,"Slow Hands","Niall Horan",13837,https://open.spotify.com/track/38yBBH2jacvDxrznF7h08J
101,Closer,"The Chainsmokers",13809,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
102,Dreamer,"Axwell /\ Ingrosso",13790,https://open.spotify.com/track/0RTzJVkunbGwuRjXDFHnjf
103,มีแฟนแล้ว,"Oat Pramote",13682,https://open.spotify.com/track/6IDsfMh7YJlE3R2mB1DYXH
104,New,Daya,13482,https://open.spotify.com/track/7y4JznkAv2W3IKw9T1o2VK
105,"XO TOUR Llif3","Lil Uzi Vert",13411,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
106,เรื่องระหว่างทาง,Lula,13346,https://open.spotify.com/track/6G0ncT77pPAgY3fye63X84
107,Universe,EXO,13285,https://open.spotify.com/track/5ptViFrfoKdGPTdd9oQCwr
108,"Say You Won't Let Go","James Arthur",12989,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
109,"피카부 Peek-A-Boo","Red Velvet",12904,https://open.spotify.com/track/42tFTth2jcF7iSo0RBjfJF
110,Gashina,SUNMI,12809,https://open.spotify.com/track/0jFHMDRXxKaREor3hBEEST
111,"Dirty Sexy Money (feat. Charli XCX & French Montana)","David Guetta",12798,https://open.spotify.com/track/0tPQPaOKM32WgMSbPCYyRH
