,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DNA,BTS,88780,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
2,"Too Good At Goodbyes - Edit","Sam Smith",62871,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
3,"Look What You Made Me Do","Taylor Swift",58541,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
4,"Best Of Me",BTS,53039,https://open.spotify.com/track/2tdq0CeAGSfhI2l4Gwkvgx
5,"Dusk Till Dawn - Radio Edit",ZAYN,46788,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
6,"What Lovers Do (feat. SZA)","Maroon 5",46439,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
7,"MIC Drop",BTS,45559,https://open.spotify.com/track/2SYa5Lx1uoCvyDIW4oee9b
8,"Go Go",BTS,44826,https://open.spotify.com/track/5nq1uTNIR1cBR72T87viS0
9,"New Rules","Dua Lipa",44799,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
10,dimple,BTS,44756,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi
11,"Intro: Serendipity",BTS,42465,https://open.spotify.com/track/7iV733e1KacKrFRaBNxVEf
12,"Pied Piper",BTS,41890,https://open.spotify.com/track/0ffweDHrg4bZqdG4IfGYuo
13,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",40045,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
14,รักตัวเอง,"Room 39",38115,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
15,Havana,"Camila Cabello",36293,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
16,"Shape of You","Ed Sheeran",36203,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
17,"Friends (with BloodPop®)","Justin Bieber",35777,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
18,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",35484,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
19,"Sorry Not Sorry","Demi Lovato",34822,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
20,รังเกียจกันไหม?,UrboyTJ,34368,https://open.spotify.com/track/3uVe6WBnQlTdT6zWs6uPX9
21,"Strip That Down","Liam Payne",34311,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
22,1-800-273-8255,Logic,33717,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
23,Thunder,"Imagine Dragons",33691,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
24,"Outro: Her",BTS,31985,https://open.spotify.com/track/3l8yQMdniG6Os8gUBNXV57
25,"Too Much To Ask","Niall Horan",31505,https://open.spotify.com/track/3hRZsdTF5uyGA2uhNqEuhm
26,Attention,"Charlie Puth",30883,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
27,"...Ready For It?","Taylor Swift",30693,https://open.spotify.com/track/19WjVVgXjdKXfLXoaDPwTM
28,"Despacito - Remix","Luis Fonsi",29714,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
29,Silence,Marshmello,29493,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
30,"Young Dumb & Broke",Khalid,29091,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
31,"2U (feat. Justin Bieber)","David Guetta",29000,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
32,Mama,"Jonas Blue",28508,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
33,rockstar,"Post Malone",28494,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
34,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",27851,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
35,"There for You","Martin Garrix",27076,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
36,มีแฟนแล้ว,"Oat Pramote",26122,https://open.spotify.com/track/6IDsfMh7YJlE3R2mB1DYXH
37,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",26106,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
38,"Something Just Like This","The Chainsmokers",25740,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
39,"Lonely Together (feat. Rita Ora)",Avicii,24905,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
40,"Super Far",LANY,24824,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E
41,ก่อนฤดูฝน,"The Toys",24711,https://open.spotify.com/track/1oyYuiIundjUzgi0oyBNyB
42,"หัวใจทศกัณฐ์(Devil's Heart)","Keng Tachaya",24304,https://open.spotify.com/track/13OiQUzHROJBNGRxcs7nSu
43,"I Like Me Better",Lauv,23972,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
44,"Without You (feat. Sandro Cavazza)",Avicii,23481,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
45,"There's Nothing Holdin' Me Back","Shawn Mendes",23318,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
46,Perfect,"Ed Sheeran",23086,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
47,ช่วงนี้(Karma),"Atom Chanakan",20920,https://open.spotify.com/track/3LbX6aIcOxB1p0pOpYPLVu
48,บทสุดท้าย,"BANKK CA$H",20404,https://open.spotify.com/track/0xpkfml0e404bgSA0C9U2T
49,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",19948,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
50,"Skit: Billboard Music Awards Speech",BTS,19896,https://open.spotify.com/track/7KXEhfjwdxHVra8VcT2QHH
51,"Mi Gente","J Balvin",19394,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
52,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,19153,https://open.spotify.com/track/7rdUtXasA973gmrr2Xxh3E
53,"Ko Ko Bop",EXO,18029,https://open.spotify.com/track/5EzitieoPnjyKHAq0gfRMa
54,คนละชั้น,Jaonaay,17905,https://open.spotify.com/track/6m5sX3sT8egiC6hqQuU382
55,เฉยเมย,YOUNGOHM,17160,https://open.spotify.com/track/6XPCoGblXqyvcyp31vzRyL
56,"Galway Girl","Ed Sheeran",17112,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
57,เป็นทุกอย่าง,"Room 39",17088,https://open.spotify.com/track/54BVTgTpCjK8cRhTFDjHNK
58,"Glorious (feat. Skylar Grey)",Macklemore,16890,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
59,Rain,"The Script",16661,https://open.spotify.com/track/2QWP8NYYplOqEFBYGCcq0S
60,เผด็จเกิร์ล,"Tattoo Colour",16382,https://open.spotify.com/track/6dnXdI7OhOJYvVjlT6pR03
61,หน้าหนาวที่แล้ว,"The Toys",16322,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
62,"Blood Sweat & Tears",BTS,16285,https://open.spotify.com/track/5RGf8qn1TBWVplLyyKUsuV
63,Unforgettable,"French Montana",16234,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
64,ทุกคนเคยร้องไห้,"Pang Nakarin",15788,https://open.spotify.com/track/35xujz4rBKjBkVLx2AoD6Y
65,Tired,"Alan Walker",15696,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a
66,"As If It's Your Last",BLACKPINK,15643,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
67,"Spring Day",BTS,15533,https://open.spotify.com/track/0WNGsQ1oAuHzNTk8jivBKW
68,"A Different Way (with Lauv)","DJ Snake",15323,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP
69,ฝืนตัวเองไม่เป็น,"Non Tanon",15116,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
70,"Your Song","Rita Ora",14800,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
71,Gashina,SUNMI,14788,https://open.spotify.com/track/0jFHMDRXxKaREor3hBEEST
72,"Bad Luck",Lipta,14464,https://open.spotify.com/track/6KtTbMttJ8ZtMG6VMds2B2
73,Believer,"Imagine Dragons",14399,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
74,"Rich Love (with Seeb)",OneRepublic,14131,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD
75,"Stay With You","Cheat Codes",14070,https://open.spotify.com/track/7q8jJ1XZEliBakZSUMFde5
76,มือลั่น,"Jazz Spooknickpapiyongkookkook",13955,https://open.spotify.com/track/6elsRmdqv0DGmmppxnqm4q
77,Energetic,"Wanna One",13952,https://open.spotify.com/track/3CEs5Jnov3YkmYn0Vezrcr
78,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",13770,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
79,"Let's Go",Lipta,13574,https://open.spotify.com/track/3AenWjAY3QOYyInNTBOuNX
80,"Symphony (feat. Zara Larsson)","Clean Bandit",13549,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
81,"More Than You Know","Axwell /\ Ingrosso",13343,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
82,"Bodak Yellow","Cardi B",13264,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
83,"That's What I Like","Bruno Mars",13238,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
84,"What About Us",P!nk,13174,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv
85,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",13162,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
86,ครั้งหนึ่งไม่ถึงตาย,KLEAR,12976,https://open.spotify.com/track/1H0gOyCNo1NKWFmM8VMIeN
87,"Slow Hands","Niall Horan",12806,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
88,Stargazing,Kygo,12800,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
89,อย่าเพิ่งใจร้าย,"The Mousses",12789,https://open.spotify.com/track/5S2aCEv3wt0bukp7nmhw52
90,"Find You","Nick Jonas",12734,https://open.spotify.com/track/6Ll3qUTssdGWMxbwhMud2N
91,เรื่องที่ขอ,Lula,12449,https://open.spotify.com/track/6ZDl7YLiNjey9VOdEM3pok
92,"XO TOUR Llif3","Lil Uzi Vert",12290,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
