,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Gorgeous,"Taylor Swift",58577,https://open.spotify.com/track/5Gd19NupVe5X8bAqxf9Iaz
2,"Too Good At Goodbyes - Edit","Sam Smith",53786,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
3,"How Long","Charlie Puth",50851,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
4,Perfect,"Ed Sheeran",46188,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
5,"What Lovers Do (feat. SZA)","Maroon 5",44100,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
6,"New Rules","Dua Lipa",42206,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
7,"Dusk Till Dawn - Radio Edit",ZAYN,41688,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
8,Havana,"Camila Cabello",41167,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
9,"Look What You Made Me Do","Taylor Swift",38014,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
10,รักตัวเอง,"Room 39",35401,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
11,"Shape of You","Ed Sheeran",34688,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
12,"Young Dumb & Broke",Khalid,34578,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
13,rockstar,"Post Malone",33262,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
14,1-800-273-8255,Logic,31522,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
15,"Sorry Not Sorry","Demi Lovato",30426,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
16,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",30340,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
17,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",29335,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
18,รังเกียจกันไหม?,UrboyTJ,29114,https://open.spotify.com/track/3uVe6WBnQlTdT6zWs6uPX9
