,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Too Good At Goodbyes - Edit","Sam Smith",60360,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
2,"How Long","Charlie Puth",49759,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
3,"Look What You Made Me Do","Taylor Swift",47884,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
4,Perfect,"Ed Sheeran",46975,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
5,"What Lovers Do (feat. SZA)","Maroon 5",46259,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
6,"Dusk Till Dawn - Radio Edit",ZAYN,45224,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
7,"New Rules","Dua Lipa",45208,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
8,รักตัวเอง,"Room 39",39527,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
9,Havana,"Camila Cabello",39370,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
10,"Shape of You","Ed Sheeran",36921,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
11,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",36528,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
12,DNA,BTS,36166,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
13,"Sorry Not Sorry","Demi Lovato",35707,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
14,rockstar,"Post Malone",34872,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
15,1-800-273-8255,Logic,34218,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
16,รังเกียจกันไหม?,UrboyTJ,32729,https://open.spotify.com/track/3uVe6WBnQlTdT6zWs6uPX9
17,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",31637,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
18,"หัวใจทศกัณฐ์(Devil's Heart)","Keng Tachaya",30267,https://open.spotify.com/track/13OiQUzHROJBNGRxcs7nSu
19,"Strip That Down","Liam Payne",29632,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
20,Thunder,"Imagine Dragons",29504,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
21,Pray,"Sam Smith",29450,https://open.spotify.com/track/0D8ZpOXVjapLXrjz5VfZSD
22,"Young Dumb & Broke",Khalid,29428,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
23,Silence,Marshmello,28697,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
24,"Friends (with BloodPop®)","Justin Bieber",28304,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
25,"Despacito - Remix","Luis Fonsi",28292,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
26,Mama,"Jonas Blue",27984,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
27,Attention,"Charlie Puth",27479,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
28,มีแฟนแล้ว,"Oat Pramote",26430,https://open.spotify.com/track/6IDsfMh7YJlE3R2mB1DYXH
29,"Easy Love",Lauv,26327,https://open.spotify.com/track/2ZE3DJuizYTad2S4CvRRhK
30,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",26073,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
31,"There for You","Martin Garrix",25977,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
32,ก่อนฤดูฝน,"The Toys",25120,https://open.spotify.com/track/1oyYuiIundjUzgi0oyBNyB
33,"Lonely Together (feat. Rita Ora)",Avicii,24786,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
34,"Mi Gente (feat. Beyoncé)","J Balvin",23485,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw
35,Stargazing,Kygo,23425,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
36,บทสุดท้าย,"BANKK CA$H",23300,https://open.spotify.com/track/0xpkfml0e404bgSA0C9U2T
37,"A Different Way (with Lauv)","DJ Snake",23056,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP
38,"Something Just Like This","The Chainsmokers",22730,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
39,"There's Nothing Holdin' Me Back","Shawn Mendes",22614,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
40,ยังคิดถึง...(Same),"Marc Tatchapon",22423,https://open.spotify.com/track/1OlInnJssr9pXY0Ooa0SDT
41,เป็นทุกอย่าง,"Room 39",22244,https://open.spotify.com/track/54BVTgTpCjK8cRhTFDjHNK
42,"Super Far",LANY,21801,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E
43,"I Like Me Better",Lauv,21760,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
44,"Without You (feat. Sandro Cavazza)",Avicii,21623,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
45,"Too Much To Ask","Niall Horan",21304,https://open.spotify.com/track/3hRZsdTF5uyGA2uhNqEuhm
46,คนละชั้น,Jaonaay,20997,https://open.spotify.com/track/6m5sX3sT8egiC6hqQuU382
47,"Help Me Out (with Julia Michaels)","Maroon 5",20940,https://open.spotify.com/track/2uSLx5uwRIhiA3sJJraNqX
48,"Let You Down",NF,20676,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
49,ช่วงนี้(Karma),"Atom Chanakan",20432,https://open.spotify.com/track/3LbX6aIcOxB1p0pOpYPLVu
50,ครั้งหนึ่งไม่ถึงตาย,KLEAR,19204,https://open.spotify.com/track/1H0gOyCNo1NKWFmM8VMIeN
51,เฉยเมย,YOUNGOHM,18336,https://open.spotify.com/track/6XPCoGblXqyvcyp31vzRyL
52,"Galway Girl","Ed Sheeran",18249,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
53,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",17305,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
54,"...Ready For It?","Taylor Swift",16615,https://open.spotify.com/track/19WjVVgXjdKXfLXoaDPwTM
55,ฝืนตัวเองไม่เป็น,"Non Tanon",16447,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
56,Rain,"The Script",16376,https://open.spotify.com/track/2QWP8NYYplOqEFBYGCcq0S
57,"Bad Luck",Lipta,16195,https://open.spotify.com/track/6KtTbMttJ8ZtMG6VMds2B2
58,"Best Of Me",BTS,16163,https://open.spotify.com/track/2tdq0CeAGSfhI2l4Gwkvgx
59,หน้าหนาวที่แล้ว,"The Toys",15590,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
60,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",15037,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
61,Tired,"Alan Walker",14761,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a
62,เจ็บจนไม่เข้าใจ,PORTRAIT,14715,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
63,เรื่องที่ขอ,Lula,14437,https://open.spotify.com/track/6ZDl7YLiNjey9VOdEM3pok
64,"2U (feat. Justin Bieber)","David Guetta",14296,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
65,เผด็จเกิร์ล,"Tattoo Colour",14062,https://open.spotify.com/track/6dnXdI7OhOJYvVjlT6pR03
66,"Symphony (feat. Zara Larsson)","Clean Bandit",13985,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
67,"What About Us",P!nk,13878,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
