,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Too Good At Goodbyes - Edit","Sam Smith",58679,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
2,DNA,BTS,52238,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
3,"Look What You Made Me Do","Taylor Swift",52076,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
4,"What Lovers Do (feat. SZA)","Maroon 5",44797,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
5,"Dusk Till Dawn - Radio Edit",ZAYN,44126,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
6,"New Rules","Dua Lipa",43482,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
7,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",38146,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
8,Havana,"Camila Cabello",37724,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
9,Perfect,"Ed Sheeran",37383,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
10,"Sorry Not Sorry","Demi Lovato",37288,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
11,"Shape of You","Ed Sheeran",37171,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
12,รักตัวเอง,"Room 39",37160,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
13,"Friends (with BloodPop®)","Justin Bieber",35440,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
14,rockstar,"Post Malone",33483,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
15,1-800-273-8255,Logic,33181,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
16,Thunder,"Imagine Dragons",32787,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
17,"Strip That Down","Liam Payne",32452,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
18,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",31987,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
19,รังเกียจกันไหม?,UrboyTJ,30979,https://open.spotify.com/track/3uVe6WBnQlTdT6zWs6uPX9
20,"Best Of Me",BTS,30748,https://open.spotify.com/track/2tdq0CeAGSfhI2l4Gwkvgx
21,Silence,Marshmello,29204,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
22,"Young Dumb & Broke",Khalid,28753,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
23,"Despacito - Remix","Luis Fonsi",28446,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
24,Mama,"Jonas Blue",27969,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
25,Attention,"Charlie Puth",27693,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
26,"Something Just Like This","The Chainsmokers",27334,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
27,"Too Much To Ask","Niall Horan",27041,https://open.spotify.com/track/3hRZsdTF5uyGA2uhNqEuhm
28,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",27035,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
29,มีแฟนแล้ว,"Oat Pramote",25600,https://open.spotify.com/track/6IDsfMh7YJlE3R2mB1DYXH
30,"There for You","Martin Garrix",25411,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
31,"2U (feat. Justin Bieber)","David Guetta",24954,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
32,"หัวใจทศกัณฐ์(Devil's Heart)","Keng Tachaya",24914,https://open.spotify.com/track/13OiQUzHROJBNGRxcs7nSu
33,"Go Go",BTS,24745,https://open.spotify.com/track/5nq1uTNIR1cBR72T87viS0
34,"MIC Drop",BTS,24437,https://open.spotify.com/track/2SYa5Lx1uoCvyDIW4oee9b
35,"I Like Me Better",Lauv,24230,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
36,"Lonely Together (feat. Rita Ora)",Avicii,23797,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
37,"Without You (feat. Sandro Cavazza)",Avicii,23744,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
38,ก่อนฤดูฝน,"The Toys",23419,https://open.spotify.com/track/1oyYuiIundjUzgi0oyBNyB
39,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",23181,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
40,"...Ready For It?","Taylor Swift",23045,https://open.spotify.com/track/19WjVVgXjdKXfLXoaDPwTM
41,dimple,BTS,22897,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi
42,"Intro: Serendipity",BTS,22391,https://open.spotify.com/track/7iV733e1KacKrFRaBNxVEf
43,"Super Far",LANY,22282,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E
44,"Mi Gente (feat. Beyoncé)","J Balvin",22232,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw
45,"There's Nothing Holdin' Me Back","Shawn Mendes",21778,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
46,"A Different Way (with Lauv)","DJ Snake",21659,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP
47,"Pied Piper",BTS,21369,https://open.spotify.com/track/0ffweDHrg4bZqdG4IfGYuo
48,บทสุดท้าย,"BANKK CA$H",21332,https://open.spotify.com/track/0xpkfml0e404bgSA0C9U2T
49,เป็นทุกอย่าง,"Room 39",21291,https://open.spotify.com/track/54BVTgTpCjK8cRhTFDjHNK
50,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",21235,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
51,เฉยเมย,YOUNGOHM,19038,https://open.spotify.com/track/6XPCoGblXqyvcyp31vzRyL
52,ยังคิดถึง...(Same),"Marc Tatchapon",18449,https://open.spotify.com/track/1OlInnJssr9pXY0Ooa0SDT
53,คนละชั้น,Jaonaay,18280,https://open.spotify.com/track/6m5sX3sT8egiC6hqQuU382
54,ช่วงนี้(Karma),"Atom Chanakan",18247,https://open.spotify.com/track/3LbX6aIcOxB1p0pOpYPLVu
55,ครั้งหนึ่งไม่ถึงตาย,KLEAR,16730,https://open.spotify.com/track/1H0gOyCNo1NKWFmM8VMIeN
56,Stargazing,Kygo,16484,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
57,Unforgettable,"French Montana",16372,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
58,"Glorious (feat. Skylar Grey)",Macklemore,15828,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
59,"Outro: Her",BTS,15366,https://open.spotify.com/track/3l8yQMdniG6Os8gUBNXV57
60,"Galway Girl","Ed Sheeran",15236,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
61,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,15103,https://open.spotify.com/track/69Naniu2KjKjaQOBUagE8U
62,"Mi Gente","J Balvin",14993,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
63,หน้าหนาวที่แล้ว,"The Toys",14795,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
64,Rain,"The Script",14795,https://open.spotify.com/track/2QWP8NYYplOqEFBYGCcq0S
65,Believer,"Imagine Dragons",14625,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
66,"As If It's Your Last",BLACKPINK,14542,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
67,"Bad Luck",Lipta,14457,https://open.spotify.com/track/6KtTbMttJ8ZtMG6VMds2B2
68,"More Than You Know","Axwell /\ Ingrosso",14200,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
69,เผด็จเกิร์ล,"Tattoo Colour",14145,https://open.spotify.com/track/6dnXdI7OhOJYvVjlT6pR03
70,Tired,"Alan Walker",14092,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a
71,"Bodak Yellow","Cardi B",13976,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
72,ฝืนตัวเองไม่เป็น,"Non Tanon",13743,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
73,"Ko Ko Bop",EXO,13706,https://open.spotify.com/track/5EzitieoPnjyKHAq0gfRMa
74,"That's What I Like","Bruno Mars",13592,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
75,พัง..(ลำพัง),Getsunova,13526,https://open.spotify.com/track/0hTyySmaM27kaBNofAYOdr
76,"Good Old Days (feat. Kesha)",Macklemore,13497,https://open.spotify.com/track/2Za1AlJNvksouPPWbXpR2X
77,เรื่องที่ขอ,Lula,13283,https://open.spotify.com/track/6ZDl7YLiNjey9VOdEM3pok
78,มือลั่น,"Jazz Spooknickpapiyongkookkook",13092,https://open.spotify.com/track/6elsRmdqv0DGmmppxnqm4q
79,เจ็บจนไม่เข้าใจ,PORTRAIT,13022,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
80,ทุกคนเคยร้องไห้,"Pang Nakarin",12980,https://open.spotify.com/track/35xujz4rBKjBkVLx2AoD6Y
81,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",12947,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
82,Energetic,"Wanna One",12846,https://open.spotify.com/track/3CEs5Jnov3YkmYn0Vezrcr
83,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",12764,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
84,"Spring Day",BTS,12710,https://open.spotify.com/track/0WNGsQ1oAuHzNTk8jivBKW
85,"Symphony (feat. Zara Larsson)","Clean Bandit",12577,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
86,Gashina,SUNMI,12503,https://open.spotify.com/track/0jFHMDRXxKaREor3hBEEST
87,"Rich Love (with Seeb)",OneRepublic,12462,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD
88,"Stay With You","Cheat Codes",12448,https://open.spotify.com/track/7q8jJ1XZEliBakZSUMFde5
89,Congratulations,"Post Malone",12387,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
90,"Blood Sweat & Tears",BTS,12203,https://open.spotify.com/track/5RGf8qn1TBWVplLyyKUsuV
91,HUMBLE.,"Kendrick Lamar",12123,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
92,"XO TOUR Llif3","Lil Uzi Vert",12036,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
93,"I Just Can't",R3HAB,12018,https://open.spotify.com/track/3gfmFoJgmn9LiIj5mV8oSS
94,Closer,"The Chainsmokers",12007,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
95,"Jocelyn Flores",XXXTENTACION,11688,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
96,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",11517,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
97,อย่าเพิ่งใจร้าย,"The Mousses",11498,https://open.spotify.com/track/5S2aCEv3wt0bukp7nmhw52
98,Photograph,"Ed Sheeran",11398,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
99,"What About Us",P!nk,11217,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv
100,"Your Song","Rita Ora",11208,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
101,"Feel It Still","Portugal. The Man",10929,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
102,"Slow Hands","Niall Horan",10834,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
103,"Bank Account","21 Savage",10815,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
104,Restart,"Room 39",10536,https://open.spotify.com/track/1pjVBWRTyPG3WXlxTNYT3U
105,Heartline,"Craig David",10426,https://open.spotify.com/track/4ioNqWWd8Ivz4bLfrn3bBN
106,"No Promises (feat. Demi Lovato)","Cheat Codes",10388,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
107,"Complicated (feat. Kiiara)","Dimitri Vegas & Like Mike",10295,https://open.spotify.com/track/1Sl3njkhhz8nrSPZroDQ82
108,Why,"Sabrina Carpenter",9972,https://open.spotify.com/track/2jYmK1cb3Uya6FFsocdpzO
109,"Beautiful Trauma",P!nk,9960,https://open.spotify.com/track/1ipE3bBLWeLkIvxWUaxpSu
110,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",9904,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
111,"Burn It Up","Wanna One",9747,https://open.spotify.com/track/0WJVy5IYA9AeAI1htZDq0C
112,"Find You","Nick Jonas",9634,https://open.spotify.com/track/6Ll3qUTssdGWMxbwhMud2N
113,ใครคนนั้น,Palaphol,9492,https://open.spotify.com/track/4empzWZswsmif6NaN3ZPjK
114,"빨간 맛 Red Flavor","Red Velvet",9479,https://open.spotify.com/track/7nKQ5WAcjnG48knyLuo8gO
115,Paris,"The Chainsmokers",9336,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
116,"Don't Wanna Cry",SEVENTEEN,9288,https://open.spotify.com/track/6Upu6yjkdi0DVI8E3IBZEU
117,เพียง,"Chart Suchart",9256,https://open.spotify.com/track/5uv1Q92Nv4l7nsuTvnwT9L
118,"PLAYING WITH FIRE - KR Ver.",BLACKPINK,9234,https://open.spotify.com/track/5OepnJhqZoyJN8qWo2LZzy
119,"Not Today",BTS,8990,https://open.spotify.com/track/4hrpoqJMVE7FxBu1YWx0eQ
120,"Versace On The Floor","Bruno Mars",8970,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
121,"WHISTLE - KR Ver.",BLACKPINK,8925,https://open.spotify.com/track/67BbMuItfrHmaNqDxBPF7c
122,เธอทำให้ได้รู้,Potato,8881,https://open.spotify.com/track/3YrKiQmCq64ZYeex4ifd17
123,"전야 前夜 The Eve",EXO,8658,https://open.spotify.com/track/2ujA6F1cpk3m8lsPE5aKua
124,"Love Yourself","Justin Bieber",8633,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
125,"Skit: Billboard Music Awards Speech",BTS,8584,https://open.spotify.com/track/7KXEhfjwdxHVra8VcT2QHH
126,Power,EXO,8300,https://open.spotify.com/track/53YZi9zgTnF0Py0K6ejyWz
127,ทดลองใช้,"Pun Basher",8277,https://open.spotify.com/track/0OCOoJ0TVcCLRCBFycKgnF
128,"Where The Love Goes",Anjulie,8270,https://open.spotify.com/track/0Xa7b1Kw7I08dD2k7zZKtV
129,"ปลายทางที่ว่างเปล่า - เพลงประกอบ Club Friday Celeb's Stories","Aof Pongsak",8270,https://open.spotify.com/track/34EtCXSXdm8iR2psCUGpwU
130,"Thinking Out Loud","Ed Sheeran",8253,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
131,ลืมไปก่อน,"Buddha Bless",8056,https://open.spotify.com/track/6Rpj87GuuE59nij1NVmpzD
132,Wait,"Martin Jensen",8054,https://open.spotify.com/track/3V9DfRoS7JfSkuTyNEsCxQ
133,"ปากแข็ง (Just in my mind) - เพลงประกอบซีรีส์ Slam Dance ทุ่มฝันสนั่นฟลอร์",Mild,7931,https://open.spotify.com/track/3ALshyY9fzcWICITSHC3km
134,"Say You Won't Let Go","James Arthur",7862,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
135,"Let's Go",Lipta,7860,https://open.spotify.com/track/3AenWjAY3QOYyInNTBOuNX
136,"The Way I Are (Dance With Somebody) [feat. Lil Wayne]","Bebe Rexha",7859,https://open.spotify.com/track/6Pw3Gvw4wNMZfTYZa6IQal
137,นวด,Palmy,7836,https://open.spotify.com/track/3ElQaABWL55eqagqUocEYW
138,"Stay (with Alessia Cara)",Zedd,7750,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
139,"All My Love (feat. Conor Maynard)","Cash Cash",7722,https://open.spotify.com/track/1839RWzPRZCVgvamu4sHSN
140,"Stay With Me",CHANYEOL,7633,https://open.spotify.com/track/1HYzRuWjmS9LXCkdVHi25K
141,"Blank Space","Taylor Swift",7602,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
142,ก็แค่ไม่มีฉัน,"Violette Wautier",7568,https://open.spotify.com/track/43jODHDCovQ6CRYgYMhzrM
143,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",7476,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
144,"I Feel It Coming","The Weeknd",7434,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
145,"Stay Young","Mike Perry",7396,https://open.spotify.com/track/2kLf4myxQME1Nd0voeKZri
146,"BOOMBAYAH - KR Ver.",BLACKPINK,7330,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt
147,"REALLY REALLY",WINNER,7307,https://open.spotify.com/track/02UNF1uo5f0UNgc1qx5XGt
148,"Me Rehúso","Danny Ocean",7221,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
149,Dope,BTS,7210,https://open.spotify.com/track/6dr6QeqH62tYUiPezRbinq
150,"I Need U",BTS,7187,https://open.spotify.com/track/3RlcLpMmRvSd84Uw6Yt4Iw
151,โลกที่ไม่มีเธอ,PORTRAIT,7126,https://open.spotify.com/track/0fSl800MbFmlLs1aUxx7Z2
152,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,7118,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
153,"24K Magic","Bruno Mars",7004,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
154,อยู่ต่อเลยได้ไหม,"Singto Numchok",6994,https://open.spotify.com/track/4V2FimcFqJ2x7uk4uFQEvN
155,Starboy,"The Weeknd",6990,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
156,"The Scientist",Coldplay,6897,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
157,"โทษที่เอาแต่ใจ (sorry)","Peck Palitchoke",6875,https://open.spotify.com/track/4MSnsmZbrh25VE8IJcZufb
158,NEVER,"Sons of People",6841,https://open.spotify.com/track/095rDYLjAHYmis3vU8gRxo
159,Heavy,Anne-Marie,6837,https://open.spotify.com/track/2X8GwyuNBiOJKLCLNaefOT
160,"I'm Not The Only One","Sam Smith",6833,https://open.spotify.com/track/0fioLzGM8ngbD1w6fMmm45
161,"รู้ยัง - Acoustic Live Session","Ton Thanasit",6826,https://open.spotify.com/track/6ZKJbL6CkzpDDYeY2SPjeQ
162,"ทางของฝุ่น (Dust)","Atom Chanakan",6729,https://open.spotify.com/track/3XfygeAG5SFzEVaQJEKY49
163,"ฉันต้องคิดถึงเธอแบบไหน (Cloudy)","Ink Waruntorn",6708,https://open.spotify.com/track/3kQuu5smL73wiy4e7RZVNv
164,อยากฟัง,"Violette Wautier",6675,https://open.spotify.com/track/7pQEnyiyYsrw9YGMGLv4dU
165,กะทันหัน,"Fymme Bongkot",6602,https://open.spotify.com/track/6sxDRIzYz50GJeSYLAODZm
166,Demons,"Imagine Dragons",6591,https://open.spotify.com/track/2Oehrcv4Kov0SuIgWyQY9e
167,"Reggaetón Lento (Remix)",CNCO,6568,https://open.spotify.com/track/3zoYkqS4y2BsGVShPL2nTE
168,"러시안 룰렛 Russian Roulette","Red Velvet",6533,https://open.spotify.com/track/7AvXrOVEVRcfXxme2wo6Im
169,"BANG BANG BANG - KR Ver.",BIGBANG,6497,https://open.spotify.com/track/6iu311jZAJFLPgoIWgrA72
170,"Side To Side","Ariana Grande",6469,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
171,Run,BTS,6466,https://open.spotify.com/track/4AyDzfSssIVPriQXxoXCVq
172,"Treat You Better","Shawn Mendes",6464,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
173,คนที่คุณก็รู้ว่าใคร,Stamp,6452,https://open.spotify.com/track/3usWyH1du9AWTTxUIMOh79
174,ปล่อย,"Pop Pongkool",6429,https://open.spotify.com/track/5eVmR3LXaUuJ4dgXfwcvsx
175,Monster,EXO,6372,https://open.spotify.com/track/6lM6yIDZ7kxFsgQCCfaLE2
176,เธอ,Cocktail,6333,https://open.spotify.com/track/6SlbEb9Zvc8rUAHUhreScK
177,ถ้าหาก,"Two Popetorn",6317,https://open.spotify.com/track/3o5FB7uyNadcadhKe3GP32
178,"วู่วาม - Unreleased Version","Season Five",6288,https://open.spotify.com/track/2nAUhnLMltzWOHCnjAUsGd
179,"Sexy Dirty Love","Demi Lovato",6260,https://open.spotify.com/track/38Ncs9ZEzJzd1ypUjNPsb5
180,"The Last Of The Real Ones","Fall Out Boy",6251,https://open.spotify.com/track/7cQMJ0wDqVS5iM0JIvP6Ay
181,Unpredictable,"Olly Murs",6250,https://open.spotify.com/track/5Gz1PxujU62sfecQpB0Stm
182,Sober,"Cheat Codes",6203,https://open.spotify.com/track/4LSkEJ5P5MV0y3PZqw7guJ
183,"Scared to Be Lonely","Martin Garrix",6194,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
184,"Felices los 4",Maluma,6185,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
185,"Take Me Home, Country Roads - Rerecorded","John Denver",6153,https://open.spotify.com/track/2xYlyywNgefLCRDG8hlxZq
186,ร่มสีเทา,Whatcharawale,6153,https://open.spotify.com/track/6z56u8jPSSroDFrJVD5cMf
187,"It Ain't Me (with Selena Gomez)",Kygo,6127,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
188,เจ้าชายนิทรา,ETC.,6123,https://open.spotify.com/track/3BXeqTOcLorpYoTkH1JTvv
189,"Cherry Bomb","NCT 127",6100,https://open.spotify.com/track/3o8QzWsiiqTUVgBZfHgF58
190,Location,Khalid,6088,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
191,"Stay With Me","Sam Smith",6066,https://open.spotify.com/track/5Db9VIdDsN5yu3Eu7CT0i4
192,Waterfall,"Petit Biscuit",6000,https://open.spotify.com/track/3llHPPHKJ9bBYh9pg9TBbf
193,ปาใส่หน้า,"Ae Jirakorn",5993,https://open.spotify.com/track/5TB9yRV4DdinilFXwWCitB
194,"Don't Let Me Down","The Chainsmokers",5989,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
195,หลอกให้รัก,"The Mousses",5984,https://open.spotify.com/track/3Oy5fg7uR3bwSK5MA7PS5M
196,เธอเก่ง,JETSET'ER,5980,https://open.spotify.com/track/5aY7gIK5RcdqGaKl7tKJFm
197,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",5969,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
198,โอ้เธอ,"Songkarn Rangsant",5944,https://open.spotify.com/track/31NK9ucTVypJ7txSyNq52G
