,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Havana,"Camila Cabello",62074,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
2,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,59524,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
3,อย่าบอก,"Atom Chanakan",59519,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
4,"Too Good At Goodbyes","Sam Smith",56155,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
5,Wolves,"Selena Gomez",55031,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
6,Perfect,"Ed Sheeran",54922,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
7,"What Lovers Do (feat. SZA)","Maroon 5",51668,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
8,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",49983,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
9,"New Rules","Dua Lipa",48573,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
10,"How Long","Charlie Puth",46728,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
11,"พริบตา x STAMP","Bird Thongchai",46481,https://open.spotify.com/track/4teedU9O1HNw0jMR1VzNev
12,"Shape of You","Ed Sheeran",43664,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
13,รักตัวเอง,"Room 39",41971,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
14,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,40573,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
15,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",40072,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
16,"Dusk Till Dawn - Radio Edit",ZAYN,37952,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
17,"MIC Drop (feat. Desiigner) [Steve Aoki Remix]",BTS,37819,https://open.spotify.com/track/7Ed6BkggCS2KaKY5YlINaF
18,"Paris in the Rain",Lauv,36633,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
19,"Him & I",G-Eazy,35582,https://open.spotify.com/track/3YU6vJbjYUG0tiJyXf9x5V
20,"Young Dumb & Broke",Khalid,35223,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
21,Thunder,"Imagine Dragons",34292,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
22,รังเกียจกันไหม?,UrboyTJ,33397,https://open.spotify.com/track/3uVe6WBnQlTdT6zWs6uPX9
23,หน้าหนาวที่แล้ว,"The Toys",32548,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
24,Silence,Marshmello,31832,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
25,"Good Morning Teacher","Atom Chanakan",31642,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
26,1-800-273-8255,Logic,31477,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
27,ถอนหายใจ,Mild,31471,https://open.spotify.com/track/1rve7sIFz7JVxwfrisKyP3
28,rockstar,"Post Malone",31400,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
29,"All Falls Down (feat. Juliander)","Alan Walker",30623,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
30,"Something Just Like This","The Chainsmokers",30449,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
31,บทสุดท้าย,"BANKK CA$H",30102,https://open.spotify.com/track/0xpkfml0e404bgSA0C9U2T
32,"Let You Down",NF,30068,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
33,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",30002,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
34,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",29813,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
35,เป็นทุกอย่าง,"Room 39",29580,https://open.spotify.com/track/54BVTgTpCjK8cRhTFDjHNK
36,ฝืนตัวเองไม่เป็น,"Non Tanon",29395,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
37,Naked,"James Arthur",29000,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
38,Attention,"Charlie Puth",28687,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
39,"Despacito - Remix","Luis Fonsi",28217,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
40,"There's Nothing Holdin' Me Back","Shawn Mendes",28185,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
41,โลกที่ไม่มีเธอ,PORTRAIT,27606,https://open.spotify.com/track/0fSl800MbFmlLs1aUxx7Z2
42,ครั้งหนึ่งไม่ถึงตาย,KLEAR,26736,https://open.spotify.com/track/1H0gOyCNo1NKWFmM8VMIeN
43,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",26318,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
44,เรื่องระหว่างทาง,Lula,25927,https://open.spotify.com/track/6G0ncT77pPAgY3fye63X84
45,"Bad Luck",Lipta,25799,https://open.spotify.com/track/6KtTbMttJ8ZtMG6VMds2B2
46,"I Miss You (feat. Julia Michaels)","Clean Bandit",25512,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
47,ยังคิดถึง...(Same),"Marc Tatchapon",25412,https://open.spotify.com/track/1OlInnJssr9pXY0Ooa0SDT
48,"Never Be the Same","Camila Cabello",25205,https://open.spotify.com/track/6VpQdig9pdpTSIFItgkJV5
49,"Lonely Together (feat. Rita Ora)",Avicii,24788,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
50,เจ็บจนไม่เข้าใจ,PORTRAIT,24125,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
51,"I Like Me Better",Lauv,24015,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
52,"Look What You Made Me Do","Taylor Swift",23523,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il
53,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",22528,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
54,คนละชั้น,Jaonaay,22326,https://open.spotify.com/track/6m5sX3sT8egiC6hqQuU382
55,Anywhere,"Rita Ora",21178,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
56,"Sorry Not Sorry","Demi Lovato",21091,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
57,พอ,"Atom Chanakan",20838,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
58,เฉยเมย,YOUNGOHM,20488,https://open.spotify.com/track/6XPCoGblXqyvcyp31vzRyL
59,ไม่เป็นไร...เข้าใจ,"Violette Wautier",20287,https://open.spotify.com/track/7KtxFYiCwqzKLcW5D6R4f0
60,"There for You","Martin Garrix",19626,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
61,ก่อนฤดูฝน,"The Toys",19505,https://open.spotify.com/track/1oyYuiIundjUzgi0oyBNyB
62,"หัวใจทศกัณฐ์(Devil's Heart)","Keng Tachaya",19482,https://open.spotify.com/track/13OiQUzHROJBNGRxcs7nSu
63,เผด็จเกิร์ล,"Tattoo Colour",19156,https://open.spotify.com/track/6dnXdI7OhOJYvVjlT6pR03
64,"Galway Girl","Ed Sheeran",19006,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
65,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",18753,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
66,เรื่องที่ขอ,Lula,18561,https://open.spotify.com/track/6ZDl7YLiNjey9VOdEM3pok
67,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",18316,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
68,"All I Want for Christmas Is You","Mariah Carey",18152,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
69,"Strip That Down","Liam Payne",17932,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
70,"Gucci Gang","Lil Pump",17633,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
71,DNA,BTS,17583,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
72,"피카부 Peek-A-Boo","Red Velvet",17546,https://open.spotify.com/track/42tFTth2jcF7iSo0RBjfJF
73,"Super Far",LANY,17179,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E
74,"Okay x UrboyTJ","Bird Thongchai",17127,https://open.spotify.com/track/3kc0sWMQxSO9Cj4bOMNX17
