,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Perfect,"Ed Sheeran",71981,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
2,อย่าบอก,"Atom Chanakan",62008,https://open.spotify.com/track/7HITcKwc3WtCQdEHuiRji5
3,"Too Good At Goodbyes","Sam Smith",60188,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
4,Wolves,"Selena Gomez",59717,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
5,Havana,"Camila Cabello",57203,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,"How Long","Charlie Puth",52842,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
7,"What Lovers Do (feat. SZA)","Maroon 5",52458,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
8,"New Rules","Dua Lipa",46139,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
9,รักตัวเอง,"Room 39",43579,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
10,"Shape of You","Ed Sheeran",42191,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
11,"Dusk Till Dawn - Radio Edit",ZAYN,39856,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
12,ถอนหายใจ,Mild,37912,https://open.spotify.com/track/1rve7sIFz7JVxwfrisKyP3
13,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",37806,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
14,รังเกียจกันไหม?,UrboyTJ,36882,https://open.spotify.com/track/3uVe6WBnQlTdT6zWs6uPX9
15,"Young Dumb & Broke",Khalid,36671,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
16,Beautiful,"Wanna One",34008,https://open.spotify.com/track/556ZoJSshEjBCxbbrjepDm
17,"All Falls Down (feat. Juliander)","Alan Walker",33320,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
18,1-800-273-8255,Logic,32157,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
19,Silence,Marshmello,31651,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
